-----FD001-----
关键参数:
学习率: 0.002
学习率调度器: step
Step步长(step_size): 10
Step衰减系数(gamma): 0.1
序列长度: 30
批大小(batch_size): 128
最大训练轮数(max_epochs): 30
空间GAT: 开启
GAT邻居数(topk): 5
GAT嵌入维度: 8
GAT隐藏维度: 8
GAT输出维度: 16
------------------------------
Epoch: 1, Loss: 24.5405, Rmse_valid: 17.5835, valid_score: 13806.2, , rmse_test: 20.8532, score_test: 1597.3, Learning rate:0.00200000
Epoch: 2, Loss: 15.7153, Rmse_valid: 13.9601, valid_score: 7959.8, , rmse_test: 17.7361, score_test: 944.5, Learning rate:0.00200000
Epoch: 3, Loss: 13.0195, Rmse_valid: 12.9509, valid_score: 6131.6, , rmse_test: 14.5648, score_test: 427.5, Learning rate:0.00200000
Epoch: 4, Loss: 12.0013, Rmse_valid: 12.8382, valid_score: 4165.8, , rmse_test: 13.4428, score_test: 258.8, Learning rate:0.00200000
Epoch: 5, Loss: 11.5169, Rmse_valid: 12.5758, valid_score: 6056.5, , rmse_test: 13.4231, score_test: 303.5, Learning rate:0.00200000
Epoch: 6, Loss: 10.9942, Rmse_valid: 15.6085, valid_score: 13743.9, , rmse_test: 16.9092, score_test: 646.6, Learning rate:0.00200000
Epoch: 7, Loss: 10.8011, Rmse_valid: 12.8629, valid_score: 6899.5, , rmse_test: 14.6938, score_test: 402.8, Learning rate:0.00200000
Epoch: 8, Loss: 10.4397, Rmse_valid: 11.0579, valid_score: 3560.8, , rmse_test: 13.7783, score_test: 302.1, Learning rate:0.00200000
Epoch: 9, Loss: 10.2994, Rmse_valid: 11.5069, valid_score: 4052.3, , rmse_test: 13.7829, score_test: 292.4, Learning rate:0.00200000
Epoch: 10, Loss: 10.0220, Rmse_valid: 13.0675, valid_score: 4646.5, , rmse_test: 14.4589, score_test: 333.4, Learning rate:0.00200000
Epoch: 11, Loss: 8.9194, Rmse_valid: 11.3508, valid_score: 4788.8, , rmse_test: 13.7123, score_test: 305.9, Learning rate:0.00020000
Epoch: 12, Loss: 8.7456, Rmse_valid: 11.8541, valid_score: 4681.8, , rmse_test: 13.8311, score_test: 316.6, Learning rate:0.00020000
Epoch: 13, Loss: 8.6914, Rmse_valid: 11.7721, valid_score: 5387.9, , rmse_test: 14.0614, score_test: 343.5, Learning rate:0.00020000
Epoch: 14, Loss: 8.6339, Rmse_valid: 11.6248, valid_score: 5199.2, , rmse_test: 14.0737, score_test: 335.0, Learning rate:0.00020000
Epoch: 15, Loss: 8.5848, Rmse_valid: 12.3570, valid_score: 5205.4, , rmse_test: 13.8739, score_test: 320.3, Learning rate:0.00020000
Epoch: 16, Loss: 8.5441, Rmse_valid: 12.1794, valid_score: 5399.6, , rmse_test: 14.0210, score_test: 332.8, Learning rate:0.00020000
Epoch: 17, Loss: 8.4832, Rmse_valid: 11.4370, valid_score: 5172.3, , rmse_test: 14.2144, score_test: 345.3, Learning rate:0.00020000
Epoch: 18, Loss: 8.4555, Rmse_valid: 11.9530, valid_score: 5615.3, , rmse_test: 14.1339, score_test: 340.4, Learning rate:0.00020000
Epoch: 19, Loss: 8.4088, Rmse_valid: 11.8507, valid_score: 4949.2, , rmse_test: 14.0787, score_test: 318.9, Learning rate:0.00020000
Epoch: 20, Loss: 8.3816, Rmse_valid: 12.3696, valid_score: 5662.4, , rmse_test: 14.1043, score_test: 333.1, Learning rate:0.00020000
Epoch: 21, Loss: 8.2957, Rmse_valid: 12.0572, valid_score: 5370.0, , rmse_test: 14.0837, score_test: 327.8, Learning rate:0.00002000
Epoch: 22, Loss: 8.2733, Rmse_valid: 12.3139, valid_score: 5367.4, , rmse_test: 14.0698, score_test: 326.3, Learning rate:0.00002000
Epoch: 23, Loss: 8.2749, Rmse_valid: 11.7555, valid_score: 5478.7, , rmse_test: 14.1334, score_test: 333.6, Learning rate:0.00002000
Epoch: 24, Loss: 8.2663, Rmse_valid: 12.2505, valid_score: 5456.0, , rmse_test: 14.0951, score_test: 328.8, Learning rate:0.00002000
Epoch: 25, Loss: 8.2694, Rmse_valid: 12.0027, valid_score: 5472.2, , rmse_test: 14.1125, score_test: 331.4, Learning rate:0.00002000
Epoch: 26, Loss: 8.2540, Rmse_valid: 12.4189, valid_score: 5524.8, , rmse_test: 14.1081, score_test: 331.1, Learning rate:0.00002000
Epoch: 27, Loss: 8.2578, Rmse_valid: 12.2751, valid_score: 5520.6, , rmse_test: 14.1366, score_test: 333.5, Learning rate:0.00002000
Epoch: 28, Loss: 8.2558, Rmse_valid: 12.3884, valid_score: 5461.2, , rmse_test: 14.0815, score_test: 326.8, Learning rate:0.00002000
Epoch: 29, Loss: 8.2394, Rmse_valid: 11.9436, valid_score: 5553.6, , rmse_test: 14.1125, score_test: 332.1, Learning rate:0.00002000
Epoch: 30, Loss: 8.2345, Rmse_valid: 12.4316, valid_score: 5519.4, , rmse_test: 14.1342, score_test: 333.2, Learning rate:0.00002000
