-----EncoderDecoder-----
-----FD001-----
Epoch: 1, Loss: 25.5735, Rmse_valid: 21.5757, valid_score: 12370.6, , rmse_test: 21.1816, score_test: 2580.6, Learning rate:0.00200
Epoch: 2, Loss: 18.1910, Rmse_valid: 18.3651, valid_score: 24199.3, , rmse_test: 21.6807, score_test: 2091.3, Learning rate:0.00200
Epoch: 3, Loss: 16.8511, Rmse_valid: 17.9022, valid_score: 13581.5, , rmse_test: 17.9667, score_test: 752.7, Learning rate:0.00200
Epoch: 4, Loss: 16.3868, Rmse_valid: 16.9660, valid_score: 17345.4, , rmse_test: 18.6220, score_test: 1075.4, Learning rate:0.00200
Epoch: 5, Loss: 16.0989, Rmse_valid: 17.0551, valid_score: 10351.6, , rmse_test: 16.5533, score_test: 586.7, Learning rate:0.00200
Epoch: 6, Loss: 15.7674, Rmse_valid: 18.0119, valid_score: 17161.6, , rmse_test: 18.2651, score_test: 1078.8, Learning rate:0.00200
Epoch: 7, Loss: 15.4982, Rmse_valid: 16.8149, valid_score: 17827.6, , rmse_test: 18.8863, score_test: 1249.4, Learning rate:0.00200
Epoch: 8, Loss: 15.1760, Rmse_valid: 16.6660, valid_score: 9484.6, , rmse_test: 16.5219, score_test: 767.4, Learning rate:0.00200
Epoch: 9, Loss: 14.9624, Rmse_valid: 15.7595, valid_score: 8485.1, , rmse_test: 16.7201, score_test: 957.8, Learning rate:0.00200
Epoch: 10, Loss: 14.7679, Rmse_valid: 15.3006, valid_score: 10217.3, , rmse_test: 17.7802, score_test: 1529.5, Learning rate:0.00200
Epoch: 11, Loss: 14.0781, Rmse_valid: 15.3166, valid_score: 10195.1, , rmse_test: 17.4266, score_test: 1287.4, Learning rate:0.00020
Epoch: 12, Loss: 14.0959, Rmse_valid: 14.7724, valid_score: 9133.2, , rmse_test: 16.9233, score_test: 1136.8, Learning rate:0.00020
Epoch: 13, Loss: 14.0503, Rmse_valid: 15.2193, valid_score: 9375.8, , rmse_test: 16.9339, score_test: 1170.1, Learning rate:0.00020
