dataset	method	seed	rmse	score	source	log_file
FD001	A	2	15.2895393372	517.986938477	final	/CMAPSS-release/logs/FD001_FD001_A/seed2/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_001854_seed2.log
FD001	A	17	14.4851646423	313.535125732	final	/CMAPSS-release/logs/FD001_FD001_A/seed17/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002108_seed17.log
FD001	A	27	14.0609388351	307.168304443	final	/CMAPSS-release/logs/FD001_FD001_A/seed27/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002313_seed27.log
FD001	A	30	14.7295627594	369.517547607	final	/CMAPSS-release/logs/FD001_FD001_A/seed30/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002522_seed30.log
FD001	A	33	14.9036903381	397.133728027	final	/CMAPSS-release/logs/FD001_FD001_A/seed33/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002730_seed33.log
FD001	A	51	14.7006807327	359.214294434	final	/CMAPSS-release/logs/FD001_FD001_A/seed51/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_002942_seed51.log
FD001	A	62	14.2355184555	349.486663818	final	/CMAPSS-release/logs/FD001_FD001_A/seed62/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003151_seed62.log
FD001	A	80	13.1480035782	281.073120117	final	/CMAPSS-release/logs/FD001_FD001_A/seed80/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003412_seed80.log
FD001	A	88	14.7678699493	372.225921631	final	/CMAPSS-release/logs/FD001_FD001_A/seed88/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003633_seed88.log
FD001	A	97	15.2023029327	407.666992188	final	/CMAPSS-release/logs/FD001_FD001_A/seed97/FD001_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_003856_seed97.log
FD001	B	2	14.1668624878	329.372528076	final	/CMAPSS-release/logs/FD001_FD001_B/seed2/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004115_seed2.log
FD001	B	17	14.3857564926	318.653381348	final	/CMAPSS-release/logs/FD001_FD001_B/seed17/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004357_seed17.log
FD001	B	27	15.2892112732	423.653686523	final	/CMAPSS-release/logs/FD001_FD001_B/seed27/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004631_seed27.log
FD001	B	30	14.9846582413	368.810424805	final	/CMAPSS-release/logs/FD001_FD001_B/seed30/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_004905_seed30.log
FD001	B	33	13.392162323	313.750274658	final	/CMAPSS-release/logs/FD001_FD001_B/seed33/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005137_seed33.log
