dataset	method	n	rmse_mean	rmse_var	rmse_min	score_mean	score_var	score_min
FD001	A	10	14.5523271561	0.350775208379	13.1480035782	367.500863647	3957.91284832	281.073120117
FD001	B	10	14.2427167892	0.417013372885	13.392162323	344.906890869	1219.78055325	304.407958984
FD001	C	10	15.0084259987	1.35215755604	13.8791208267	418.379119873	12086.3411101	297.03125
FD001	D	10	14.1674334526	0.373828372795	13.3603887558	345.942401123	2889.56147383	268.666656494
FD001	E	10	16.6592668533	0.548828515973	15.6952219009	730.722821045	16650.185817	613.72052002
FD002	A	10	13.4080091476	0.0781863250588	12.9924240112	907.158990479	2591.66334828	833.968505859
FD002	B	10	13.2578745842	0.132622557924	12.8344068527	984.056872559	12373.1504162	833.085754395
FD002	C	10	13.5785208702	0.264700400327	12.4797906876	984.71005249	23801.6853996	743.83770752
FD002	D	10	13.5996124268	0.16830064569	13.1076622009	996.314709473	15403.2503191	814.316467285
FD002	E	10	35.7901313782	1.13138418197	33.7895507812	59513.8613281	405665357.832	37912.1757812
FD003	A	10	14.8486423492	0.119821194599	14.2758541107	1033.90054321	44116.1395113	743.219360352
FD003	B	10	15.4577178955	0.102956712065	14.9769821167	1300.15080566	27909.9532063	1028.8046875
FD003	C	10	17.0329916954	0.952188797826	15.6834306717	1356.79830322	15930.520496	1150.984375
FD003	D	10	14.579976368	0.175289871901	14.1053180695	989.41060791	27936.3662005	750.940307617
FD003	E	10	15.7194087982	0.398186711805	14.9876613617	1081.92648315	138148.82083	707.70300293
FD004	A	10	18.1581611633	0.417075246429	17.0274925232	2300.96096191	399087.395972	1674.33227539
FD004	B	10	17.4260129929	0.116730969533	16.7623329163	1941.95390625	106065.951546	1516.40063477
FD004	C	10	18.7095510483	1.33455014263	17.394033432	2598.4029541	535615.546034	1683.5690918
FD004	D	10	17.9617078781	0.134713039863	17.4155807495	2042.26914063	47642.8340841	1717.21154785
FD004	E	10	39.970475769	0.882452769706	38.8135528564	108294.85625	377512960.063	79862.28125
