-----FD004-----
关键参数:
学习率: 0.002
学习率调度器: step
Step步长(step_size): 10
Step衰减系数(gamma): 0.1
序列长度: 30
批大小(batch_size): 128
最大训练轮数(max_epochs): 30
空间GAT: 开启
GAT邻居数(topk): 7
GAT嵌入维度: 16
GAT隐藏维度: 8
GAT输出维度: 16
------------------------------
Epoch: 1, Loss: 25.6445, Rmse_valid: 20.5299, valid_score: 71340.5, , rmse_test: 23.8078, score_test: 7996.4, Learning rate:0.00200000
Epoch: 2, Loss: 21.3430, Rmse_valid: 19.3839, valid_score: 60596.0, , rmse_test: 21.3157, score_test: 4484.4, Learning rate:0.00200000
Epoch: 3, Loss: 19.6352, Rmse_valid: 17.8346, valid_score: 37024.9, , rmse_test: 18.9656, score_test: 2499.1, Learning rate:0.00200000
Epoch: 4, Loss: 18.6760, Rmse_valid: 25.1638, valid_score: 296119.8, , rmse_test: 27.5679, score_test: 17809.5, Learning rate:0.00200000
Epoch: 5, Loss: 17.9941, Rmse_valid: 18.4064, valid_score: 39867.6, , rmse_test: 18.5048, score_test: 1900.6, Learning rate:0.00200000
Epoch: 6, Loss: 17.3520, Rmse_valid: 21.2615, valid_score: 122360.0, , rmse_test: 21.8473, score_test: 6018.4, Learning rate:0.00200000
Epoch: 7, Loss: 17.0363, Rmse_valid: 17.7794, valid_score: 45419.1, , rmse_test: 18.2549, score_test: 3114.6, Learning rate:0.00200000
Epoch: 8, Loss: 16.7273, Rmse_valid: 18.3304, valid_score: 31602.9, , rmse_test: 19.7070, score_test: 1922.0, Learning rate:0.00200000
Epoch: 9, Loss: 16.3648, Rmse_valid: 19.6175, valid_score: 90113.4, , rmse_test: 20.3509, score_test: 4136.7, Learning rate:0.00200000
Epoch: 10, Loss: 16.2321, Rmse_valid: 17.1601, valid_score: 46269.7, , rmse_test: 18.9138, score_test: 2412.1, Learning rate:0.00200000
Epoch: 11, Loss: 14.4718, Rmse_valid: 16.9195, valid_score: 36990.1, , rmse_test: 17.1092, score_test: 1642.2, Learning rate:0.00020000
Epoch: 12, Loss: 14.2688, Rmse_valid: 16.6386, valid_score: 37501.1, , rmse_test: 17.2320, score_test: 1925.7, Learning rate:0.00020000
Epoch: 13, Loss: 14.1648, Rmse_valid: 17.0607, valid_score: 43974.5, , rmse_test: 17.3684, score_test: 2026.2, Learning rate:0.00020000
Epoch: 14, Loss: 14.0921, Rmse_valid: 16.6984, valid_score: 33597.7, , rmse_test: 16.9932, score_test: 1567.3, Learning rate:0.00020000
Epoch: 15, Loss: 14.0414, Rmse_valid: 16.5295, valid_score: 38823.0, , rmse_test: 18.1660, score_test: 2293.9, Learning rate:0.00020000
Epoch: 16, Loss: 13.9890, Rmse_valid: 16.6874, valid_score: 38904.8, , rmse_test: 17.6524, score_test: 1981.0, Learning rate:0.00020000
Epoch: 17, Loss: 13.9266, Rmse_valid: 16.5899, valid_score: 35282.3, , rmse_test: 17.5758, score_test: 1784.7, Learning rate:0.00020000
Epoch: 18, Loss: 13.8774, Rmse_valid: 16.8888, valid_score: 44744.3, , rmse_test: 17.7163, score_test: 2168.6, Learning rate:0.00020000
Epoch: 19, Loss: 13.8167, Rmse_valid: 16.8054, valid_score: 38496.1, , rmse_test: 17.4093, score_test: 1852.7, Learning rate:0.00020000
Epoch: 20, Loss: 13.7776, Rmse_valid: 16.5743, valid_score: 37406.7, , rmse_test: 17.4624, score_test: 1860.8, Learning rate:0.00020000
Epoch: 21, Loss: 13.6473, Rmse_valid: 16.7101, valid_score: 36771.0, , rmse_test: 17.5314, score_test: 1805.7, Learning rate:0.00002000
Epoch: 22, Loss: 13.6293, Rmse_valid: 16.6695, valid_score: 37249.7, , rmse_test: 17.6349, score_test: 1878.7, Learning rate:0.00002000
Epoch: 23, Loss: 13.6254, Rmse_valid: 16.5192, valid_score: 37961.9, , rmse_test: 17.5454, score_test: 1869.2, Learning rate:0.00002000
Epoch: 24, Loss: 13.6173, Rmse_valid: 16.7810, valid_score: 37874.1, , rmse_test: 17.4242, score_test: 1810.9, Learning rate:0.00002000
Epoch: 25, Loss: 13.6082, Rmse_valid: 16.6015, valid_score: 37442.3, , rmse_test: 17.4304, score_test: 1811.9, Learning rate:0.00002000
Epoch: 26, Loss: 13.6060, Rmse_valid: 16.7221, valid_score: 37942.5, , rmse_test: 17.5484, score_test: 1871.3, Learning rate:0.00002000
Epoch: 27, Loss: 13.6022, Rmse_valid: 16.7441, valid_score: 37601.4, , rmse_test: 17.5407, score_test: 1851.9, Learning rate:0.00002000
Epoch: 28, Loss: 13.5946, Rmse_valid: 16.6422, valid_score: 37967.4, , rmse_test: 17.6087, score_test: 1918.5, Learning rate:0.00002000
Epoch: 29, Loss: 13.5895, Rmse_valid: 16.8418, valid_score: 38164.8, , rmse_test: 17.5375, score_test: 1856.4, Learning rate:0.00002000
Epoch: 30, Loss: 13.5839, Rmse_valid: 16.7498, valid_score: 35665.1, , rmse_test: 17.4388, score_test: 1726.3, Learning rate:0.00002000
