-----EncoderDecoder-----
-----FD004-----embed8topk3
Epoch: 1, Loss: 26.0723, Rmse_valid: 21.0854, valid_score: 81613.6, , rmse_test: 24.3084, score_test: 8302.4, Learning rate:0.00200000
Epoch: 2, Loss: 21.5007, Rmse_valid: 19.6471, valid_score: 52155.3, , rmse_test: 21.8725, score_test: 3683.6, Learning rate:0.00200000
Epoch: 3, Loss: 20.2741, Rmse_valid: 18.6822, valid_score: 43306.7, , rmse_test: 19.9587, score_test: 2724.1, Learning rate:0.00200000
Epoch: 4, Loss: 19.2355, Rmse_valid: 18.6573, valid_score: 41834.1, , rmse_test: 19.5150, score_test: 3384.5, Learning rate:0.00200000
Epoch: 5, Loss: 18.4085, Rmse_valid: 18.5694, valid_score: 42034.1, , rmse_test: 18.4595, score_test: 1846.6, Learning rate:0.00200000
Epoch: 6, Loss: 17.7538, Rmse_valid: 18.7545, valid_score: 55289.3, , rmse_test: 20.8202, score_test: 4927.6, Learning rate:0.00200000
Epoch: 7, Loss: 17.2283, Rmse_valid: 17.3678, valid_score: 39530.3, , rmse_test: 19.2217, score_test: 2309.6, Learning rate:0.00200000
Epoch: 8, Loss: 16.8298, Rmse_valid: 17.7836, valid_score: 52785.9, , rmse_test: 19.0616, score_test: 3654.0, Learning rate:0.00200000
Epoch: 9, Loss: 16.4451, Rmse_valid: 18.7501, valid_score: 32816.3, , rmse_test: 18.4294, score_test: 1349.7, Learning rate:0.00200000
Epoch: 10, Loss: 16.1376, Rmse_valid: 19.0945, valid_score: 86736.8, , rmse_test: 19.1905, score_test: 3930.4, Learning rate:0.00200000
Epoch: 11, Loss: 14.3932, Rmse_valid: 17.3038, valid_score: 46982.7, , rmse_test: 17.2442, score_test: 1893.5, Learning rate:0.00020000
Epoch: 12, Loss: 14.2111, Rmse_valid: 17.8365, valid_score: 53037.4, , rmse_test: 17.2183, score_test: 1798.4, Learning rate:0.00020000
Epoch: 13, Loss: 14.0997, Rmse_valid: 17.3837, valid_score: 45394.1, , rmse_test: 17.2641, score_test: 1873.4, Learning rate:0.00020000
Epoch: 14, Loss: 14.0307, Rmse_valid: 17.9308, valid_score: 56195.3, , rmse_test: 17.2635, score_test: 1949.4, Learning rate:0.00020000
Epoch: 15, Loss: 13.9592, Rmse_valid: 17.7915, valid_score: 55460.6, , rmse_test: 17.1785, score_test: 1864.1, Learning rate:0.00020000
Epoch: 16, Loss: 13.8996, Rmse_valid: 17.2552, valid_score: 51709.3, , rmse_test: 17.6578, score_test: 2148.7, Learning rate:0.00020000
Epoch: 17, Loss: 13.8285, Rmse_valid: 17.2703, valid_score: 44191.8, , rmse_test: 17.1948, score_test: 1664.7, Learning rate:0.00020000
Epoch: 18, Loss: 13.7714, Rmse_valid: 17.5225, valid_score: 52431.5, , rmse_test: 17.0791, score_test: 1863.9, Learning rate:0.00020000
Epoch: 19, Loss: 13.7271, Rmse_valid: 17.3882, valid_score: 52270.5, , rmse_test: 17.7233, score_test: 2154.3, Learning rate:0.00020000
Epoch: 20, Loss: 13.6695, Rmse_valid: 17.4488, valid_score: 54427.8, , rmse_test: 17.2759, score_test: 2058.5, Learning rate:0.00020000
Epoch: 21, Loss: 13.5304, Rmse_valid: 17.2319, valid_score: 48945.1, , rmse_test: 17.2409, score_test: 1895.1, Learning rate:0.00002000
Epoch: 22, Loss: 13.5145, Rmse_valid: 17.2542, valid_score: 49568.1, , rmse_test: 17.2678, score_test: 1966.2, Learning rate:0.00002000
Epoch: 23, Loss: 13.5060, Rmse_valid: 17.4029, valid_score: 49614.8, , rmse_test: 17.1873, score_test: 1892.2, Learning rate:0.00002000
Epoch: 24, Loss: 13.4996, Rmse_valid: 17.2980, valid_score: 49911.6, , rmse_test: 17.2863, score_test: 1901.9, Learning rate:0.00002000
Epoch: 25, Loss: 13.4909, Rmse_valid: 17.1962, valid_score: 50484.4, , rmse_test: 17.1771, score_test: 1875.0, Learning rate:0.00002000
Epoch: 26, Loss: 13.4905, Rmse_valid: 17.1157, valid_score: 50243.5, , rmse_test: 17.2551, score_test: 1949.2, Learning rate:0.00002000
Epoch: 27, Loss: 13.4810, Rmse_valid: 17.2850, valid_score: 50180.6, , rmse_test: 17.2093, score_test: 1890.5, Learning rate:0.00002000
Epoch: 28, Loss: 13.4760, Rmse_valid: 17.3909, valid_score: 49195.9, , rmse_test: 17.3318, score_test: 1928.8, Learning rate:0.00002000
Epoch: 29, Loss: 13.4706, Rmse_valid: 17.3736, valid_score: 51437.9, , rmse_test: 17.2892, score_test: 1985.8, Learning rate:0.00002000
Epoch: 30, Loss: 13.4657, Rmse_valid: 17.5777, valid_score: 51493.7, , rmse_test: 17.2018, score_test: 1901.7, Learning rate:0.00002000
