-----FD001-----
模型: GAT_LSTM_AEFAOF_model(AEF与AOF均开启)
序列长度: 30
特征维度: 14
批大小: 128
最大训练轮数: 30
随机种子: 2
学习率: 0.001
学习率调度器: step
Step步长(step_size): 10
Step衰减系数(gamma): 0.1
是否启用AEF: 是
是否启用AOF: 是
GAT隐藏层维度: [8, 8, 8]
LSTM隐藏层维度: [64, 32]
GAT Dropout系数: 0.1
GAT LeakyReLU系数(alpha): 0.1
图构建模式: dynamic_topk
节点嵌入维度(embed_dim): 8
Topk邻居数: 7
AOF注意力隐藏维度: 8
AEF注意力隐藏维度: 16
AEF/AOF融合方式: concat
是否启用指数平滑: True
平滑系数(smooth_rate): 30
------------------------------
第1轮, 训练损失: 42.6243, 验证集RMSE: 41.7895, 验证集S分数: 822388.1, 测试集RMSE: 42.0947, 测试集S分数: 38479.9, 学习率: 0.00100000
第2轮, 训练损失: 41.3994, 验证集RMSE: 40.5310, 验证集S分数: 739448.9, 测试集RMSE: 39.1220, 测试集S分数: 23151.2, 学习率: 0.00100000
第3轮, 训练损失: 39.5336, 验证集RMSE: 36.7890, 验证集S分数: 298048.4, 测试集RMSE: 34.4943, 测试集S分数: 9469.7, 学习率: 0.00100000
第4轮, 训练损失: 35.2032, 验证集RMSE: 29.2562, 验证集S分数: 84090.3, 测试集RMSE: 29.4385, 测试集S分数: 7378.5, 学习率: 0.00100000
第5轮, 训练损失: 31.2076, 验证集RMSE: 28.8998, 验证集S分数: 52712.6, 测试集RMSE: 26.7790, 测试集S分数: 6364.0, 学习率: 0.00100000
第6轮, 训练损失: 29.3066, 验证集RMSE: 29.0141, 验证集S分数: 47558.8, 测试集RMSE: 27.5996, 测试集S分数: 6215.5, 学习率: 0.00100000
第7轮, 训练损失: 28.4453, 验证集RMSE: 24.9192, 验证集S分数: 50377.0, 测试集RMSE: 27.6159, 测试集S分数: 12119.7, 学习率: 0.00100000
第8轮, 训练损失: 27.5456, 验证集RMSE: 24.6839, 验证集S分数: 39347.2, 测试集RMSE: 27.5503, 测试集S分数: 13479.5, 学习率: 0.00100000
第9轮, 训练损失: 27.3605, 验证集RMSE: 25.8632, 验证集S分数: 51957.7, 测试集RMSE: 28.9675, 测试集S分数: 12858.3, 学习率: 0.00100000
第10轮, 训练损失: 26.9262, 验证集RMSE: 26.6647, 验证集S分数: 25752.2, 测试集RMSE: 26.1087, 测试集S分数: 3915.1, 学习率: 0.00100000
第11轮, 训练损失: 26.0921, 验证集RMSE: 24.1662, 验证集S分数: 29484.7, 测试集RMSE: 26.8976, 测试集S分数: 10407.9, 学习率: 0.00010000
第12轮, 训练损失: 25.9722, 验证集RMSE: 23.5628, 验证集S分数: 29543.8, 测试集RMSE: 27.0206, 测试集S分数: 10891.5, 学习率: 0.00010000
